Dealer Code,Dealer Name,Dealer State,Region,Status,Status Reson,Chassis no,TMInvoiceno,TM Invoice Date,Retail invoice no,Retail invoice Date,Claim ID,G_Claim ID,Scheme ID,Amount,SAP Doc no.,SAP Doc Date,Scheme Type,Scheme Type-Name,Scheme Type Category,LOB
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT558005PVJ50387,723276640,29-09-2023,IAUTGH2324001350,11-12-2023,CVA24848666,0,SCHM12-13493,10000,728322645,04-06-2024,Chola Cash,Cash discount in lieu of Chola ,Consumer,SCVPass
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT558005PVJ50387,723276640,29-09-2023,IAUTGH2324001350,11-12-2023,CVB24880194,0,SCHM12-13480,10000,728322646,04-06-2024,Exchange,Exchange Discount,Consumer,SCVPass
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT535351PYP56736,723477439,29-12-2023,IAUTGH2324002184,29-03-2024, CVD241040310 ,0,SCHM03-18345,20000,Flat,29-12-2023,Exchange,Exchange Discount,Consumer,Pickups
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT535351RYB04948,728111745,29-02-2024,IAUTGH2324002193,29-03-2024, CVD241040342 ,0,SCHM03-18345,20000,Flat,29-02-2024,Exchange,Exchange Discount,Consumer,Pickups
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT556013PVP68963,728059236,31-01-2024,IAUTGH2324002052,16-03-2024, CVD241040436 ,0,SCHM03-18341,10000,Flat,31-01-2024,Exchange,Exchange Discount,Consumer,SCV Cargo
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT556012RVA03653,728103574,27-02-2024,IAUTGH2324002053,16-03-2024,CVD241040466,0,SCHM03-18341,10000,728322673,04-06-2024,Exchange,Exchange Discount,Consumer,SCV Cargo
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT556013PVP69022,728084871,17-02-2024,IAUTGH2324002068,19-03-2024, CVD241040978 ,0,SCHM03-18341,10000,Flat,17-02-2024,Exchange,Exchange Discount,Consumer,SCV Cargo
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT556012RVA03680,728103584,27-02-2024,IAUTGH2324002069,19-03-2024, CVD241040979 ,0,SCHM03-18341,10000,Flat,27-02-2024,Exchange,Exchange Discount,Consumer,SCV Cargo
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT559038RVB05534,728134016,18-03-2024,IAUTGH2324002075,20-03-2024, CVD241041186 ,0,SCHM03-18337,10000,Flat,18-03-2024,Exchange,Exchange Discount,Consumer,SCV Cargo
1007360,ASHOK AUTO VENTURES LLP-1007360,Uttar Pradesh,North,Settled,On-Line,MAT556013PVP69024,728084872,17-02-2024,IAUTGH2324002073,20-03-2024, CVD241041242 ,0,SCHM03-18341,10000,Flat,17-02-2024,Exchange,Exchange Discount,Consumer,SCV Cargo
